year, припомним жуликам и ворам их манифест 2002 , видеозапись грот и 25 17 просыпайтесь ,аудиофайлы с названиями банда москвы виват россии mp 3 и грот дым mp3 url адрес социальная сеть в контакте ,музыкальное произведение радикальный голос группы коловрат , текстовая часть аудиозаписи sel mi на стягу коловрат всем славянам длительностью 03 минуты 08 секунд начинающаяся словами мы стали сплочённее за плечами четверть века и заканчивающаяся словами стирая границы ох погуляют славяне размещенная пользователем владимир мартынов на официальном интернет на веб сервисе сайта вконтакте 
2014,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0
2016,2.0,6.0,11.0,26.0,13.0
2017,5.0,57.0,33.0,23.0,26.0
2018,15.0,42.0,39.0,15.0,20.0
2019,51.0,13.0,3.0,4.0,14.0
2020,64.0,8.0,4.0,3.0,0.0
2021,36.0,5.0,2.0,1.0,0.0
2022,27.0,2.0,3.0,5.0,1.0
